name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2007-01-01,26.1,23.7,24.5,26.1,23.7,24.5,18.9,71,0,0,0,,,,,0,,1013.9,25.7,1.4,,,,,2007-01-01T06:57:14,2007-01-01T18:42:30,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-02,32.1,22.1,26.1,30.5,22.1,25.7,12.7,46.8,0,0,0,,,,,27.7,54.7,1013.5,21.9,1.2,,,,,2007-01-02T06:57:40,2007-01-02T18:43:01,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-03,31.4,21.1,26.3,29.9,21.1,25.9,12.6,45.1,0,0,0,,,,,29.5,64.3,1013,20,1,,,,,2007-01-03T06:58:05,2007-01-03T18:43:32,0.5,Clear,Partly cloudy throughout the day.,clear-day,65201099999
Lagos,2007-01-04,31.1,21.1,25.7,30.4,21.1,25.5,13.4,48.8,0,0,0,,,,,18.4,33.6,1012.4,25.2,1,,,,,2007-01-04T06:58:30,2007-01-04T18:44:02,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-05,32.1,22.1,25.6,31.3,22.1,25.4,14.2,51.6,0,0,0,,,,,22.3,34.2,1011.9,12,1,,,,,2007-01-05T06:58:53,2007-01-05T18:44:33,0.56,Clear,Clear conditions throughout the day.,clear-day,65201099999
Lagos,2007-01-06,34.6,21.1,28,33.7,21.1,27.7,14.3,46.3,0,0,0,,,,,27.7,53.1,1012,25.9,2.2,,,,,2007-01-06T06:59:17,2007-01-06T18:45:03,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-07,32.1,21.1,26.9,31.3,21.1,26.8,15.5,52,0,0,0,,,,,24.1,96.7,1011.8,19.5,1.1,,,,,2007-01-07T06:59:39,2007-01-07T18:45:33,0.62,Clear,Clear conditions throughout the day.,clear-day,65201099999
Lagos,2007-01-08,34.1,22.1,26.7,33.4,22.1,26.7,17.6,60.5,0,0,0,,,,,27.7,55,1011.4,20,1,,,,,2007-01-08T07:00:01,2007-01-08T18:46:02,0.66,Clear,Partly cloudy throughout the day.,clear-day,65201099999
Lagos,2007-01-09,33.1,22.1,26,31.2,22.1,25.8,16.6,60,0,0,0,,,,,22.3,18.9,1010.8,22.8,1.2,,,,,2007-01-09T07:00:22,2007-01-09T18:46:32,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-10,34.1,21.1,27.3,32.5,21.1,26.7,14,48.1,0,0,0,,,,,24.1,55.1,1011.1,18.9,1,,,,,2007-01-10T07:00:42,2007-01-10T18:47:01,0.72,Clear,Clear conditions throughout the day.,clear-day,65201099999
Lagos,2007-01-11,34.6,21.1,28.3,33.7,21.1,27.9,15.1,47.9,0,0,0,,,,,24.1,115.9,1011.3,28.7,2.6,,,,,2007-01-11T07:01:02,2007-01-11T18:47:30,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-12,34.2,22.1,26.7,32.8,22.1,26.2,13.3,46.9,0,0,0,,,,,33.5,46.2,1011.4,25.5,1.6,,,,,2007-01-12T07:01:21,2007-01-12T18:47:58,0.78,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,65201099999
Lagos,2007-01-13,33.1,21.1,25.4,32,21.1,25.2,12.3,46.1,0,0,0,,,,,25.9,59,1012.2,27,1.6,,,,,2007-01-13T07:01:39,2007-01-13T18:48:26,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-14,33.1,21.1,25.2,31.8,21.1,25,13.9,52.7,0,0,0,,,,,33.5,50.4,1012,29,1.2,,,,,2007-01-14T07:01:56,2007-01-14T18:48:53,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-15,34.1,21.1,27,33.4,21.1,26.6,14.7,50.1,0,0,0,,,,,33.5,69.6,1010.6,25.7,1.3,,,,,2007-01-15T07:02:12,2007-01-15T18:49:21,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-16,34.1,20.1,26.4,32.5,20.1,26,15.4,55.3,0,0,0,,,,,35.3,76.1,1010.8,19.6,2.3,,,,,2007-01-16T07:02:28,2007-01-16T18:49:47,0.91,Clear,Clear conditions throughout the day.,clear-day,65201099999
Lagos,2007-01-17,33.1,20.9,26.8,31.1,20.9,26.1,12.5,46.6,0,0,0,,,,,35.3,42.5,1010.9,28.4,1.3,,,,,2007-01-17T07:02:42,2007-01-17T18:50:13,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-18,35.1,20.7,27.3,33,20.7,26.6,13.5,48.5,0,0,0,,,,,87.1,35.9,1011.5,27.5,1.6,,,,,2007-01-18T07:02:56,2007-01-18T18:50:39,0.98,Partially cloudy,Partly cloudy throughout the day.,wind,65201099999
Lagos,2007-01-19,33.1,20.9,26.6,31.8,20.9,26.2,13.2,46.7,0,0,0,,,,,35.3,62.9,1011.9,25.5,1.6,,,,,2007-01-19T07:03:09,2007-01-19T18:51:04,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2007-01-20,33.1,21.4,26,31.6,21.4,25.4,14.1,53.5,0,0,0,,,,,35.3,33.4,1011.9,33.8,1.4,,,,,2007-01-20T07:03:21,2007-01-20T18:51:28,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
