name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,2018-01-01,33,19,26,32.6,19,25.9,16.5,59.7,0,0,0,,0,0,14,14.8,65.1,1012.5,27.5,3.2,0,0,0,,2018-01-01T06:57:21,2018-01-01T18:42:39,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2018-01-02,32,20.9,26,31.3,20.9,25.8,16.9,61.2,0,0,0,,0,0,25.9,14.8,44.1,1011.9,28.8,1.5,261.2,21.6,9,,2018-01-02T06:57:46,2018-01-02T18:43:10,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2018-01-03,33,21.8,26.7,32.3,21.8,26.4,15.4,54.6,0,0,0,,0,0,25.9,24.1,46.6,1012.6,25,1,259.4,22.5,9,,2018-01-03T06:58:11,2018-01-03T18:43:40,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2018-01-04,34,20,26.5,33,20,26.1,15.5,55.3,0,0,0,,0,0,28.4,16.6,74.5,1013.6,28.3,2.3,262.2,22.6,9,,2018-01-04T06:58:36,2018-01-04T18:44:11,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65202099999,DNMM,65201099999"
lagos,2018-01-05,33,19,25.6,31.5,19,25.2,14.3,54.2,0,0,0,,0,0,24.5,18.4,109.8,1013.7,25.8,4.8,263.4,22.6,9,,2018-01-05T06:58:59,2018-01-05T18:44:41,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2018-01-06,33,19.8,25.4,32.3,19.8,25.5,17.8,65.9,0,0,0,,0,0,29.9,13,255.5,1013.2,27.9,3.8,254.1,21.8,9,,2018-01-06T06:59:22,2018-01-06T18:45:11,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2018-01-07,32,21.9,26.6,34.9,21.9,28,22.2,78.5,0,0,0,,0,0,29.5,11.2,211.5,1012.7,32.7,2,239.3,20.5,8,,2018-01-07T06:59:44,2018-01-07T18:45:41,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
lagos,2018-01-08,34,24,27.6,39.4,24,29.9,23.8,81.3,0,0,0,,0,0,31.7,13,184,1013.3,33.4,2.9,237.9,20.4,9,,2018-01-08T07:00:06,2018-01-08T18:46:10,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2018-01-09,35,24,28,38.9,24,30.2,23.6,79.5,54.4,100,4.17,rain,0,0,29.9,17.3,197,1013.2,32.6,5.2,239.9,20.7,9,,2018-01-09T07:00:27,2018-01-09T18:46:40,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999"
lagos,2018-01-10,32.8,24.2,27.9,36.8,24.2,30.1,23.6,79.1,0,0,0,,0,0,30.2,13,220.1,1013.2,43.4,6.8,218.2,18.7,8,,2018-01-10T07:00:47,2018-01-10T18:47:09,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2018-01-11,34,24.8,28,39.4,24.8,30.6,23.9,80,0,0,0,,0,0,32.4,16.6,244.4,1012.4,32.7,6.3,217,18.7,8,,2018-01-11T07:01:06,2018-01-11T18:47:37,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2018-01-12,35,25,28.3,41.2,25,31.2,24.4,81.4,0.1,100,4.17,rain,0,0,33.8,13,235,1012.5,43,6.9,209.6,18.2,8,,2018-01-12T07:01:25,2018-01-12T18:48:06,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"DNMM,remote,65201099999"
lagos,2018-01-13,34,24,28.3,39.1,24,31.1,24.1,80.3,0,0,0,,0,0,31,16.6,243.7,1012.2,34.6,7.5,232.1,19.9,9,,2018-01-13T07:01:42,2018-01-13T18:48:33,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
lagos,2018-01-14,33,24.9,28.2,38.1,24.9,30.8,24,79.7,0,0,0,,0,0,28.8,13,241.4,1012.1,46.7,7,211.1,18.2,8,,2018-01-14T07:01:59,2018-01-14T18:49:01,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2018-01-15,32.2,23.8,27.5,37.9,23.8,29.6,23.8,81.8,0,0,0,,0,0,31.7,13,220.6,1012.3,47.5,6.5,196.8,16.8,8,,2018-01-15T07:02:15,2018-01-15T18:49:28,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2018-01-16,33,24.1,27.8,39.3,24.1,30.4,24.3,82.7,0,0,0,,0,0,29.5,12.2,203.7,1012.7,45.6,7,215.8,18.6,7,,2018-01-16T07:02:31,2018-01-16T18:49:54,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
lagos,2018-01-17,34,24.9,28,40,24.9,30.6,24,80.4,0,0,0,,0,0,31.3,15.8,255.8,1012,39.2,6.5,231.7,19.9,8,,2018-01-17T07:02:45,2018-01-17T18:50:20,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
