name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,01/01/2022,34,25,28.8,42,25,33,25,81.2,0,0,0,,0,0,24.1,14.8,186.4,1011.6,40.6,8,214.1,18.5,8,,2022-01-01T06:57:24,2022-01-01T18:42:41,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
Lagos,02/01/2022,35,25,28.7,43.3,25,33,25.2,82.8,0,0,0,,0,0,27.4,13,237.8,1010.5,43.5,7.1,211.3,18.3,7,,2022-01-02T06:57:49,2022-01-02T18:43:12,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,03/01/2022,31.1,26,28,36,26,30.5,24.3,81.9,0.3,100,8.33,rain,0,0,29.5,15.1,226,1009.7,76,,234.9,20.4,8,,2022-01-03T06:58:14,2022-01-03T18:43:43,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Lagos,04/01/2022,32.6,26.1,27.6,33.3,26.1,29,23.1,78.5,0.3,100,8.33,rain,0,0,25.6,14.8,179.7,1010.7,97.6,4.3,231.8,20,8,,2022-01-04T06:58:38,2022-01-04T18:44:13,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"65210099999,remote,65201099999"
Lagos,05/01/2022,30.6,23.9,27.2,32.8,23.9,28.5,22.4,76.4,0,0,0,,0,0,24.8,37.1,189.1,1010.8,78.2,7.3,231.6,20,8,,2022-01-05T06:59:02,2022-01-05T18:44:43,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,65213099999,DNMM,remote,65201099999"
Lagos,06/01/2022,36,15,26.2,40.6,15,27.8,21,75.8,0,0,0,,0,0,26.6,33.5,249.7,1010.1,20.1,5.3,247.8,21.4,9,,2022-01-06T06:59:25,2022-01-06T18:45:14,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,07/01/2022,34,15,27.6,42,15,31.3,24.4,83.4,0.1,100,4.17,rain,0,0,28.4,22.3,230,1010.8,22.2,8,216.1,18.6,8,,2022-01-07T06:59:47,2022-01-07T18:45:43,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
Lagos,08/01/2022,30.3,15,27.5,36.1,15,31.5,24.2,82.9,0.4,100,16.67,rain,0,0,29.2,16.6,233.1,1010.8,23.9,10.4,217,18.5,8,,2022-01-08T07:00:08,2022-01-08T18:46:13,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VRJU8,65202099999,remote,65201099999"
Lagos,09/01/2022,35,25.9,28.6,38.5,25.9,32.1,24.3,79.3,0,0,0,,0,0,35.6,13.7,247,1009.8,36.3,6.9,234.8,20.3,8,,2022-01-09T07:00:29,2022-01-09T18:46:42,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,10/01/2022,34,25,28,38.3,25,30.5,23.4,77.4,0,0,0,,0,0,20.9,23.8,205.7,1009.2,30.8,10.3,275.3,23.7,9,30,2022-01-10T07:00:49,2022-01-10T18:47:11,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
