name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
lagos,01/01/2013,34.1,21.5,26.5,37.5,21.5,27.6,20.2,71.1,0,0,0,,,,,24.1,53.6,1011,18.7,6.7,230.3,19.8,8,,2013-01-01T06:57:27,2013-01-01T18:42:46,0.64,Clear,Clear conditions throughout the day.,clear-day,"65210099999,65213099999,DNMM,65201099999"
lagos,02/01/2013,33.1,20.5,26.5,33.2,20.5,26.6,17.3,59.9,0,0,0,,,,11.2,22.3,70.1,1011.9,21.1,6.5,229,19.9,8,,2013-01-02T06:57:52,2013-01-02T18:43:17,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
lagos,03/01/2013,35.1,19.1,26.7,38,19.1,27.5,18.4,63.8,0,0,0,,,,,18.4,292.6,1013.3,14.9,5,212.7,18.5,8,,2013-01-03T06:58:17,2013-01-03T18:43:47,0.71,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNMM,65201099999"
lagos,04/01/2013,35.5,21,26.6,48.8,21,29.3,19.9,67.4,0,0,0,,,,,16.6,267.1,1013.4,22.4,5,200.9,17.5,7,,2013-01-04T06:58:41,2013-01-04T18:44:18,0.74,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"65210099999,65213099999,65203099999,DNMM,remote,65201099999"
lagos,05/01/2013,34,20.1,26,43.5,20.1,27.9,18.6,65,0,0,0,,,,,16.6,322.6,1013,18.5,5.5,176.9,15.4,7,,2013-01-05T06:59:05,2013-01-05T18:44:48,0.75,Clear,Clear conditions throughout the day.,clear-day,"65210099999,65213099999,65203099999,DNMM,65201099999"
lagos,06/01/2013,33.1,19,25,40.7,19,26.3,17.5,64,0,0,0,,,,,9.7,262.1,1012.6,20,5.2,223.3,19.4,8,,2013-01-06T06:59:28,2013-01-06T18:45:18,0.81,Clear,Partly cloudy throughout the day.,clear-day,"65210099999,DNMM,remote,65201099999"
lagos,07/01/2013,34.3,21.5,26.6,40.6,21.5,28.1,19.6,66.5,0,0,0,,,,13,13,223.6,1013.3,22.3,6.2,190.3,16.3,7,,2013-01-07T06:59:50,2013-01-07T18:45:48,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
lagos,08/01/2013,32,23,27.3,42.3,23,29.9,22,73.2,0,0,0,,,,25.9,14.8,229.3,1013.6,34.1,6.5,209.4,18.2,8,,2013-01-08T07:00:11,2013-01-08T18:46:17,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65203099999,65213099999,DNMM,65201099999"
lagos,09/01/2013,33.2,24,27.7,45.8,24,31.4,22.8,75.1,0,0,0,,,,25.9,27.7,152.6,1012.5,25.1,5.8,205.2,17.9,8,,2013-01-09T07:00:32,2013-01-09T18:46:47,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65203099999,DNMM,remote,65201099999"
lagos,10/01/2013,34.1,23,27.3,49.7,23,30.6,22.5,75.2,0,0,0,,,,13,9.4,287.2,1012.7,34.5,5.1,208.9,18.1,8,,2013-01-10T07:00:52,2013-01-10T18:47:15,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,remote,65201099999"
lagos,11/01/2013,33.3,23,27.2,37,23,28.6,22.3,75.8,0,0,0,,,,,11.2,226.4,1011.8,35.6,3.7,221.1,19.1,8,,2013-01-11T07:01:11,2013-01-11T18:47:44,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
lagos,12/01/2013,35.3,22.5,26.9,39.3,22.5,28.4,21.2,73.7,0,0,0,,,,,14.8,331.8,1010.7,29.3,3.7,211.9,18.4,8,,2013-01-12T07:01:29,2013-01-12T18:48:12,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,65203099999,DNMM,remote,65201099999"
