name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,1/1/2019,36.5,25,29.4,42.6,25,32.9,24.2,76.5,0,0,0,,0,0,34.2,16.8,273.9,1014.1,29.6,4.4,250.5,21.6,9,,2019-01-01T06:57:15,2019-01-01T18:42:32,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65202099999,DNMM,65201099999"
Lagos,1/2/2019,34.1,24,28.6,42,24,32.3,24.4,79.7,0,0,0,,0,0,26.6,13,205.3,1014,32.8,4.4,231.7,20.2,8,,2019-01-02T06:57:41,2019-01-02T18:43:02,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,remote,65201099999"
Lagos,1/3/2019,34,24.9,28.7,39.5,24.9,32.8,24.6,79.4,0,0,0,,0,0,28.4,13.9,279.7,1012.8,26.2,4.6,230.6,20.1,8,,2019-01-03T06:58:06,2019-01-03T18:43:33,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65213099999,65202099999,DNMM,65201099999"
Lagos,1/4/2019,36,24.8,28.9,43.2,24.8,32.6,24.5,79.5,0,0,0,,0,0,33.1,15.1,298.5,1012.7,24.4,3.6,243.9,21.1,9,,2019-01-04T06:58:30,2019-01-04T18:44:04,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,1/5/2019,37,25.9,28.8,40.1,25.9,30.6,23,75,0,0,0,,0,0,33.8,16.6,229.5,1012.1,14.6,4,249.4,21.5,9,,2019-01-05T06:58:54,2019-01-05T18:44:34,0.98,Clear,Clear conditions throughout the day.,clear-day,"DNMM,remote,65201099999"
Lagos,1/6/2019,35,22.2,28.2,41.9,22.2,30.9,22.8,74,0,0,0,,0,0,31.3,18.4,176,1012.9,37.2,4.1,240.2,20.7,9,,2019-01-06T06:59:17,2019-01-06T18:45:04,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,1/7/2019,32,24,27.9,37.9,24,30.6,23.7,79.2,0.2,100,4.17,rain,0,0,33.5,42.5,257.7,1012.4,31,4.4,217,18.7,8,,2019-01-07T06:59:39,2019-01-07T18:45:34,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,1/8/2019,35,23,28.3,40.6,23,30.9,23.4,77.5,0,0,0,,0,0,30.2,14.8,331.9,1012,18.8,3.5,243.8,21,9,,2019-01-08T07:00:01,2019-01-08T18:46:04,0.08,Clear,Clear conditions throughout the day.,clear-day,"65210099999,65202099999,DNMM,remote,65201099999"
Lagos,1/9/2019,35,23,28.4,41.7,23,30.5,22.6,73.7,0,0,0,,0,0,32,15.9,175.9,1011.4,18.3,3,251.6,21.7,9,,2019-01-09T07:00:22,2019-01-09T18:46:33,0.11,Clear,Clear conditions throughout the day.,clear-day,"65210099999,65202099999,DNMM,remote,65201099999"
Lagos,1/10/2019,35,25,28.7,41.9,25,32.3,23.9,76.4,0,0,0,,0,0,30.6,11.2,183.8,1011.7,32.2,3.3,225.5,19.4,8,,2019-01-10T07:00:42,2019-01-10T18:47:02,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,1/11/2019,35,25,28.9,43.3,25,33.1,25,81.1,0,0,0,,0,0,27,20.5,186.4,1011,49.9,3.5,224.7,19.4,8,,2019-01-11T07:01:02,2019-01-11T18:47:31,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,remote,65201099999"
Lagos,1/12/2019,35,25,29.3,43.3,25,34.6,25.4,80.7,0,0,0,,0,0,36.7,14.8,228.1,1010.9,35.7,4.1,235.8,20.3,8,,2019-01-12T07:01:21,2019-01-12T18:47:59,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65202099999,DNMM,remote,65201099999"
Lagos,1/13/2019,35,25,29.2,43.3,25,34.4,25.3,81,0,0,0,,0,0,33.5,20.5,194.7,1012.2,45.9,5.7,235.7,20.4,9,,2019-01-13T07:01:39,2019-01-13T18:48:27,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,1/14/2019,33,26,28.9,42.2,26,34.3,25.6,83.2,0,0,0,,0,0,35.3,16.7,216.3,1013.4,30,6.6,199.3,17.3,7,,2019-01-14T07:01:56,2019-01-14T18:48:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,1/15/2019,34,26,29.5,43.5,26,35.7,25.7,81.1,0,0,0,,0,0,30.2,24.1,219.5,1012.5,54.9,6.8,197,17.1,7,,2019-01-15T07:02:12,2019-01-15T18:49:21,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65202099999,DNMM,remote,65201099999"
Lagos,1/16/2019,34,26,29.3,43.5,26,35.4,25.9,83,0,0,0,,0,0,30.2,14.8,231.1,1012.2,47.7,6.6,207.9,17.9,7,,2019-01-16T07:02:27,2019-01-16T18:49:48,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65213099999,DNMM,65201099999"
Lagos,1/17/2019,35,25.9,29.4,43.5,25.9,34.9,25.6,81.4,0.1,100,4.17,rain,0,0,33.5,16.6,208.5,1011.9,46.3,7.8,213.3,18.5,8,,2019-01-17T07:02:42,2019-01-17T18:50:14,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,1/18/2019,34,26,29.3,43.5,26,35.4,25.8,82.1,0,0,0,,0,0,34.6,18.4,198.1,1012.7,52,8.8,204.5,17.6,8,,2019-01-18T07:02:56,2019-01-18T18:50:40,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
Lagos,1/19/2019,35,25,29.2,43.3,25,34.1,25.2,80.4,0,0,0,,0,0,31.3,18.4,200.3,1013.3,54.7,9.3,221,19.1,8,,2019-01-19T07:03:08,2019-01-19T18:51:05,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
Lagos,1/20/2019,32,23,27.5,40.6,23,31.6,25.2,87.5,35,100,4.17,rain,0,0,33.5,22.3,245.5,1013.9,52,8.8,212.1,18.3,7,,2019-01-20T07:03:20,2019-01-20T18:51:29,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,65213099999,DNMM,65201099999"
Lagos,1/21/2019,33.4,25,28,42.6,25,31.9,25.2,85.8,0,0,0,,0,0,27.7,16.6,216.5,1013.3,54.4,6.9,202.1,17.3,8,,2019-01-21T07:03:31,2019-01-21T18:51:53,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65202099999,DNMM,remote,65201099999"
Lagos,1/22/2019,34,24.6,28.7,43.8,24.6,33.5,25.4,83.6,0.3,100,4.17,rain,0,0,30.2,14.8,201.3,1012.5,56,8.3,216.9,18.7,8,,2019-01-22T07:03:41,2019-01-22T18:52:16,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNMM,65201099999"
Lagos,1/23/2019,33.2,26.9,29.6,43.6,31,36.8,26.4,83.8,0,0,0,,0,0,33.1,16.6,207.4,1012.1,61.7,9.2,198.6,17.1,7,,2019-01-23T07:03:50,2019-01-23T18:52:39,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,65202099999,DNMM,65201099999"
