name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2021-01-01,33.1,25,28.5,40.9,25,32.7,24.9,81.5,0,0,0,,0,0,31.3,13,219,1010.6,65.2,5.5,219.8,19,8,,2021-01-01T06:57:29,2021-01-01T18:42:48,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-02,34,26,28.9,42,26,33.9,25.3,81.7,0.4,100,16.67,rain,0,0,31.7,14.8,223.6,1010.6,56.3,8.4,209.4,18.2,8,,2021-01-02T06:57:55,2021-01-02T18:43:19,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-03,33,25.4,28.5,40.6,25.4,33.5,25.6,85,0.3,100,4.17,rain,0,0,30.6,17.3,217.2,1010.4,43,7.6,201.7,17.3,6,,2021-01-03T06:58:19,2021-01-03T18:43:50,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2021-01-04,34,22,28.5,43.5,22,33.2,25.2,83.7,0.4,100,12.5,rain,0,0,33.1,38.9,240.5,1009.9,48.8,8.8,209.5,18.1,7,,2021-01-04T06:58:43,2021-01-04T18:44:20,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2021-01-05,34.1,22.7,28.1,42.1,22.7,31.7,24.4,81.7,2,100,4.17,rain,0,0,83.5,19.1,237.6,1009.4,47.1,9.6,206.4,17.9,8,,2021-01-05T06:59:07,2021-01-05T18:44:50,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2021-01-06,33.4,22,28.2,41.6,22,32.1,24.8,82.8,0.7,100,20.83,rain,0,0,31.3,22.3,236.1,1009.9,62.5,9.3,176.4,15.3,7,,2021-01-06T06:59:30,2021-01-06T18:45:20,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-07,33.3,23,27.4,41.2,23,31,24.2,82.8,0.8,100,29.17,rain,0,0,32.4,50,199.3,1010.7,75.1,9.2,192.6,16.7,7,,2021-01-07T06:59:52,2021-01-07T18:45:50,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-08,33,23.1,27.7,40.6,23.1,31.3,25.1,86.2,0.8,100,20.83,rain,0,0,31.3,16.9,246,1010.9,83.4,10.2,197.8,17.1,8,,2021-01-08T07:00:13,2021-01-08T18:46:20,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-09,33.1,24.9,28.5,40.1,24.9,32.5,24.3,79.6,0.2,100,8.33,rain,0,0,29.5,20.5,234.3,1010.4,55.3,9.8,200.6,17.3,7,,2021-01-09T07:00:34,2021-01-09T18:46:49,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-10,33,21,28.1,40.6,21,32.2,25,84,0.6,100,12.5,rain,0,0,28.4,46.8,247.6,1009.8,51.4,10.1,202.2,17.5,7,,2021-01-10T07:00:53,2021-01-10T18:47:18,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-11,33.1,19,27.6,40.6,19,31.3,24.4,83.4,0,0,0,,0,0,28.4,50.4,255.2,1010.5,54.5,9.6,202.5,17.4,8,,2021-01-11T07:01:13,2021-01-11T18:47:46,0.94,Partially cloudy,Partly cloudy throughout the day.,wind,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-12,32.6,17,27.4,38.8,17,30.4,24.5,85.2,0.1,100,4.17,rain,0,0,32.8,18,265.7,1011.6,55,9.6,196.1,16.9,8,,2021-01-12T07:01:31,2021-01-12T18:48:14,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-13,34,25.1,28.6,40.6,25.1,32.6,24.8,81.1,0.8,100,8.33,rain,0,0,36,31.4,231.9,1011.8,60.2,9.3,207,17.9,7,,2021-01-13T07:01:48,2021-01-13T18:48:42,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-14,32.9,15,27.7,39.2,15,31.1,23.5,78.8,0.2,100,8.33,rain,0,0,29.9,22.3,227.5,1012.2,49.3,9.6,211.8,18.2,7,,2021-01-14T07:02:05,2021-01-14T18:49:09,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2021-01-15,35.9,24.4,28.3,38.8,24.4,31.8,24.4,80.8,1.9,100,20.83,rain,0,0,29.5,16.6,228.4,1009.7,52.9,9,220.6,19.1,8,,2021-01-15T07:02:21,2021-01-15T18:49:36,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"65210099999,DNMM,remote,65201099999"
