name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2017-01-01,34,22,27.6,37.3,22,29.4,22,74.3,0,0,0,,0,0,30.2,13,240.7,1011.3,22.9,1.8,241.7,21,9,,2017-01-01T06:57:27,2017-01-01T18:42:46,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2017-01-02,35,23.9,28.3,40,23.9,30.9,23.7,78.2,0,0,0,,0,0,28.4,11.2,259.7,1011.7,25.1,2.2,241.6,20.9,9,,2017-01-02T06:57:52,2017-01-02T18:43:17,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
Lagos,2017-01-03,34.2,24,28.4,37.3,24,30.3,22.6,73.5,0,0,0,,0,0,25.6,13,349.8,1012.1,23.2,2.9,242.1,20.9,9,,2017-01-03T06:58:17,2017-01-03T18:43:47,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
Lagos,2017-01-04,35,23.9,28.4,36.3,23.9,28.7,20.3,66.4,0,0,0,,0,0,31.7,14.8,344.1,1011.4,19.5,3.2,255.1,21.8,9,,2017-01-04T06:58:41,2017-01-04T18:44:18,0.22,Clear,Clear conditions throughout the day.,clear-day,"65210099999,DNMM,remote,65201099999"
Lagos,2017-01-05,34,22.4,27.9,38.5,22.4,30.4,22.9,76.2,0,0,0,,0,0,34.9,11.2,278.3,1010.4,30.1,3.3,240.2,20.9,9,,2017-01-05T06:59:04,2017-01-05T18:44:48,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999"
Lagos,2017-01-06,35,25,28.8,40.6,25,32.3,24.5,79.6,0,0,0,,0,0,35.6,13,233.9,1010.5,33.3,3.7,232.8,20.2,9,,2017-01-06T06:59:27,2017-01-06T18:45:18,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2017-01-07,33,25,28.5,40.6,25,33.1,25.3,83.9,0.1,100,4.17,rain,0,0,28.1,13,185.4,1012,37.8,3.4,209.1,18.1,8,,2017-01-07T06:59:49,2017-01-07T18:45:48,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"65210099999,DNMM,remote,65201099999"
Lagos,2017-01-08,36,24.9,29,43.2,24.9,32.9,24.7,79.6,0,0,0,,0,0,30.2,13,314.1,1011.8,34.1,3.7,207.5,17.7,7,,2017-01-08T07:00:11,2017-01-08T18:46:17,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2017-01-09,35,25,29,40.6,25,31.9,23.1,73.1,0,0,0,,0,0,29.9,12.8,194.3,1010.4,37,3.8,220.8,19.1,8,,2017-01-09T07:00:31,2017-01-09T18:46:47,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2017-01-10,35,25,28.4,38.5,25,30.7,23.4,76.6,0,0,0,,0,0,34.2,16.6,218.3,1009.6,36.6,5.4,241.3,20.8,8,,2017-01-10T07:00:51,2017-01-10T18:47:15,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
