name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2006-01-01,27.1,27.1,27.1,32,32,32,27.1,100,0,0,0,,,,,0,,1010.2,90,1,,,,,2006-01-01T06:57:21,2006-01-01T18:42:38,0.05,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,65201099999
Lagos,2006-01-02,33.1,27.1,30.2,42.3,31.4,37.3,26.1,79.6,0,0,0,,,,,27.7,228.9,1006.6,90,6.5,,,,,2006-01-02T06:57:46,2006-01-02T18:43:08,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2006-01-03,31.6,26.1,28.9,39.3,26.1,34.2,26,85.5,0,0,0,,,,,31.3,196.4,1008.8,90,6.6,,,,,2006-01-03T06:58:11,2006-01-03T18:43:39,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2006-01-04,33.1,27.1,30.1,39.4,31.4,35.6,24.8,74.5,0,0,0,,,,,33.5,232.4,1006.1,90,8.8,,,,,2006-01-04T06:58:35,2006-01-04T18:44:10,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2006-01-05,31.2,25.1,28.4,37.8,25.1,32.7,25.1,83.1,0,0,0,,,,,20.5,250,1008.1,90,4.5,,,,,2006-01-05T06:58:59,2006-01-05T18:44:40,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2006-01-06,32.6,27.1,29.9,40.5,31.4,36,25.8,80.1,0,0,0,,,,,20.5,250,1009.1,90,5,,,,,2006-01-06T06:59:22,2006-01-06T18:45:10,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2006-01-07,31.1,27.1,29,39.3,31.4,35.3,26.1,84.5,0,0,0,,,,,18.4,220,1009.5,90,7.3,,,,,2006-01-07T06:59:44,2006-01-07T18:45:40,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2006-01-08,31.4,26.1,28.6,37.8,26.1,32.5,25.2,82.7,0,0,0,,,,,27.7,240,1008.1,90,6,,,,,2006-01-08T07:00:06,2006-01-08T18:46:10,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2006-01-09,32.1,30.1,31.1,38,36.3,37,24.4,67.5,0,0,0,,,,,46.4,237.4,1007.6,90,11.3,,,,,2006-01-09T07:00:27,2006-01-09T18:46:39,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,65201099999
Lagos,2006-01-10,,,,,,,,,,,0,,,,,0,,,,,,,,,2006-01-10T07:00:47,2006-01-10T18:47:08,0.36,,,,
