name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2023-01-01,35,20.8,26.9,33.7,20.8,26.6,14.7,50.2,0,0,0,,0,0,21.2,18,44.9,1011.8,35.2,5.1,265.5,22.9,9,10,2023-01-01T06:57:18,2023-01-01T18:42:34,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,remote,65201099999,VRJT5"
Lagos,2023-01-02,35,19,26.8,34,19,26.5,14.9,52.2,0,0,0,,0,0,29.5,25.9,18.9,1011.6,40.4,4.2,252.9,21.8,9,10,2023-01-02T06:57:43,2023-01-02T18:43:05,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2023-01-03,34,20.9,27,33.3,20.9,26.9,15.2,50.3,0,0,0,,0,0,22.3,18.4,20.2,1011.8,27.1,2.9,266.4,23.1,9,10,2023-01-03T06:58:08,2023-01-03T18:43:36,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"DNMM,65201099999"
Lagos,2023-01-04,33.9,21.9,27.1,32.9,21.9,26.9,16.6,56.4,0,0,0,,0,0,25.9,21.8,104.6,1012.1,29.7,2.4,245,21.3,8,10,2023-01-04T06:58:33,2023-01-04T18:44:06,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,65201099999"
Lagos,2023-01-05,34,21,27.1,34.6,21,27.6,18.5,62.2,0,0,0,,0,0,28.4,18.3,232.3,1012.3,27.9,2.5,248.3,21.5,9,10,2023-01-05T06:58:56,2023-01-05T18:44:37,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,65213099999,DNMM,65201099999"
Lagos,2023-01-06,33.1,23,27.6,37,23,29.7,21.5,70.4,0,0,0,,0,0,25.6,16.6,178.8,1013,22.9,3.8,252,21.7,9,30,2023-01-06T06:59:19,2023-01-06T18:45:07,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999,VRJT5"
Lagos,2023-01-07,36,24.8,28.7,39.3,24.8,31.7,23.3,74.4,0,0,0,,0,0,23,18.7,197,1012.5,37.5,4.7,262.5,22.6,9,60,2023-01-07T06:59:42,2023-01-07T18:45:37,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2023-01-08,35,24.9,28.5,39.6,24.9,31.8,24.1,79.1,0,0,0,,0,0,27.7,14.8,208.7,1012.4,34,6,253.2,21.8,9,30,2023-01-08T07:00:04,2023-01-08T18:46:06,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999"
Lagos,2023-01-09,35,24.8,28.6,39.4,24.8,31.5,24,78.1,0,0,0,,0,0,23,25.6,222.9,1012.7,35.9,5.1,264,22.7,9,60,2023-01-09T07:00:25,2023-01-09T18:46:36,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,remote,65201099999,VRJT5"
Lagos,2023-01-10,35,24.1,28.9,37.7,24.1,31.4,23,73.2,0,0,0,,0,0,22.3,18.4,248.5,1013.8,35.2,4.6,267.6,23.2,9,60,2023-01-10T07:00:45,2023-01-10T18:47:05,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,65201099999,VRJT5"
Lagos,2023-01-11,34.5,24.9,28.4,38,24.9,30.5,22.5,72.9,0,0,0,,0,0,23.8,18.4,254.6,1013.6,33.7,6,270,23.3,9,30,2023-01-11T07:01:04,2023-01-11T18:47:33,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,VRJU8,DNMM,65201099999,VRJT5"
Lagos,2023-01-12,35,24,28.2,37,24,30,22.8,75.6,0,0,0,,0,0,25.9,22.3,44.6,1011.8,29.4,5.3,265.7,22.9,9,30,2023-01-12T07:01:23,2023-01-12T18:48:02,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VRJU8,DNMM,remote,65201099999"
