name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2010-01-01,32.1,23,27.3,37.9,23,29.9,23.8,82.7,0,0,0,,,,18.4,11.2,235.2,1012,45.2,5.7,201.5,17.4,7,,2010-01-01T06:57:21,2010-01-01T18:42:38,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2010-01-02,32.3,24,27.5,38,24,30.2,24,82.5,0,0,0,,,,22.3,18.4,256.8,1012,41.5,8,129.8,11.1,5,,2010-01-02T06:57:46,2010-01-02T18:43:09,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2010-01-03,34,23,27.6,38.2,23,30.4,24,82.5,0,0,0,,,,27.7,24,215.2,1011.8,39,6.9,191.3,16.5,7,,2010-01-03T06:58:11,2010-01-03T18:43:39,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2010-01-04,33,24,27.4,37.9,24,29.7,24.5,85,22.1,100,4.17,rain,,,13,14.8,242.6,1011.5,53.6,6.6,165,14.1,6,,2010-01-04T06:58:35,2010-01-04T18:44:10,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"65210099999,DNMM,65201099999"
Lagos,2010-01-05,31,24,26.8,36.6,24,28.6,24.2,86.4,0,0,0,,,,11.2,7.6,270.8,1011.4,50.2,6.8,176.4,15.2,7,,2010-01-05T06:58:59,2010-01-05T18:44:40,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2010-01-06,33.1,24,27.3,39.8,24,30.1,24.7,86.4,0,0,0,,,,18.4,14.8,246.3,1011.1,48.7,5.6,139.1,12,5,,2010-01-06T06:59:22,2010-01-06T18:45:10,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2010-01-07,32,25,28.1,38.4,25,31.7,24.7,82.7,0,0,0,,,,18.4,14.8,237.5,1011.1,57.8,7.8,122.9,10.6,5,,2010-01-07T06:59:44,2010-01-07T18:45:40,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2010-01-08,30,25.9,27.6,36.3,25.9,30.9,25.1,86.7,0,0,0,,,,27.7,24.1,220.5,1011.1,41.8,8.5,141.2,12.2,5,,2010-01-08T07:00:06,2010-01-08T18:46:10,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,65201099999"
Lagos,2010-01-09,29,24,26.6,35,24,28.6,66.5,90.1,0,0,0,,,,11.2,16.2,227.2,1010.9,55.6,5,113.2,9.9,4,,2010-01-09T07:00:27,2010-01-09T18:46:39,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
Lagos,2010-01-10,31,23,26.4,38.9,23,28.7,24.3,88.7,0,0,0,,,,18.4,11.2,293,1010.7,55.1,5,140.5,12.2,5,,2010-01-10T07:00:47,2010-01-10T18:47:08,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"65210099999,DNMM,remote,65201099999"
