name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lagos,2008-01-01,33.1,24.4,27.2,38.2,24.4,29,23.3,80,1,100,4.17,rain,,,,20.5,305.9,1010.2,54.8,6,,,,,2008-01-01T06:57:08,2008-01-01T18:42:23,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,65201099999
Lagos,2008-01-02,33.1,24.1,27.5,35.5,24.1,28,21.6,74.1,0,0,0,,,,,16.6,314.4,1010.7,43.3,6.9,,,,,2008-01-02T06:57:34,2008-01-02T18:42:54,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-03,33.1,22.4,27.6,38.9,22.4,29.7,21.7,71.1,0,0,0,,,,,24.1,271.2,1011.8,52,6.6,,,,,2008-01-03T06:57:59,2008-01-03T18:43:24,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-04,32.7,23.6,27.6,38.6,23.6,29.7,22.9,76.9,0,0,0,,,,,24.1,274.4,1012.1,53.5,6.4,,,,,2008-01-04T06:58:24,2008-01-04T18:43:55,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-05,,,,,,,,,,,0,,,,,0,,,,,,,,,2008-01-05T06:58:48,2008-01-05T18:44:25,0.9,,,,
Lagos,2008-01-06,30.1,24.9,27.6,36.1,24.9,30,24.1,82,0,0,0,,,,,27.7,247.9,1011.8,62.4,7.9,,,,,2008-01-06T06:59:11,2008-01-06T18:44:56,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-07,31.1,25.1,27.2,29.4,25.1,26.9,17.1,58.8,0,0,0,,,,,24.1,12.6,1011.3,38,5.4,,,,,2008-01-07T06:59:34,2008-01-07T18:45:26,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-08,33.6,22.1,27.5,32.4,22.1,27,12.6,43.7,0,0,0,,,,,31.3,6.1,1010.5,36,5.3,,,,,2008-01-08T06:59:56,2008-01-08T18:45:55,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,65201099999
Lagos,2008-01-09,32.2,22.1,27.3,31.2,22.1,26.9,13.8,46.9,0,0,0,,,,,27.7,55.5,1009.9,20,5.9,,,,,2008-01-09T07:00:17,2008-01-09T18:46:25,0.03,Clear,Partly cloudy throughout the day.,clear-day,65201099999
Lagos,2008-01-10,34.6,20.6,27.2,34.6,20.6,27.5,17.8,59.5,0,0,0,,,,,16.6,13.9,1009.5,36.8,4.4,,,,,2008-01-10T07:00:38,2008-01-10T18:46:54,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-11,25.1,24.1,24.6,25.1,24.1,24.6,21.4,82.4,0,0,0,,,,,7.6,325.1,1009.1,32,4.4,,,,,2008-01-11T07:00:57,2008-01-11T18:47:23,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-12,31.1,23.1,27,36.4,23.1,28.8,23.2,81,0,0,0,,,,,18.4,300.3,1011,41.1,3.6,,,,,2008-01-12T07:01:16,2008-01-12T18:47:51,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-13,29.1,24.6,26.3,32.9,24.6,27.6,24,87.1,0,0,0,,,,,33.5,250,1010.8,38.6,5.9,,,,,2008-01-13T07:01:35,2008-01-13T18:48:19,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
Lagos,2008-01-14,31.2,25.1,27.7,36.9,25.1,30.1,24.1,81.9,0,0,0,,,,,29.5,243,1011.4,61.4,7.1,,,,,2008-01-14T07:01:52,2008-01-14T18:48:47,0.21,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,65201099999
